-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
56,57,58,407,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,245,246,247
77,78,79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,245,246,247,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,245,246,247,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
245,245,245,245,245,246,247,-1,-1,-1,245,245,246,247,-1,-1,-1,-1,245,246
267,267,267,267,267,267,268,-1,-1,-1,266,267,267,268,-1,-1,-1,-1,266,267
267,267,267,267,267,267,267,-1,-1,-1,266,267,267,268,-1,-1,-1,-1,267,267
267,267,267,267,267,267,267,-1,-1,-1,266,267,267,267,-1,-1,-1,-1,266,267
267,267,267,267,267,267,268,407,-1,-1,266,267,267,268,-1,-1,-1,-1,267,267
267,267,267,267,267,267,268,-1,-1,-1,266,267,267,268,-1,-1,-1,-1,267,267
